 ,Area(zone c),Mean(zone c),Min(zone c),Max(zone c)
392,115080,44828.324,5108,65535
393,115080,44611.684,5108,65535
394,115080,44540.566,0,65535
395,115080,44943.891,5108,65535
396,115080,44585.020,4683,65535
397,115080,44904.473,5108,65535
398,115080,44727.176,0,65535
399,115080,44930.055,4683,65535
400,115080,44752.297,5534,65535
401,115080,40966.625,6385,65535
402,115080,30527.990,5534,59602
403,115080,30482.312,4683,57899
404,115080,30786.695,425,63859
405,115080,30553.174,7237,53216
406,115080,30703.416,3405,54067
407,115080,30463.959,6385,61305
408,115080,30423.244,0,62582
409,115080,30650.266,5534,52364
410,115080,30313.715,5534,58750
411,115080,30500.736,6385,65535
412,115080,30445.443,3405,64711
413,115080,41989.664,5960,65535
414,115080,44733.992,4683,65535
415,115080,44491.809,0,65535
416,115080,44758.879,7237,65535
417,115080,44552.895,5108,65535
418,115080,44855.836,5108,65535
419,115080,44760.824,5960,65535
420,115080,44895.504,4683,65535
421,115080,44938.273,5534,65535
422,115080,44695.848,4683,65535
423,115080,44971.762,5108,65535
424,115080,40808.891,7237,65535
425,115080,30555.996,5960,60879
426,115080,30584.246,3831,60879
427,115080,30832.047,5534,63433
428,115080,30718.838,0,58750
429,115080,30407.189,4683,51939
430,115080,30740.219,2980,62582
431,115080,30450.877,5108,55345
432,115080,30625.104,4257,54493
433,115080,30427.664,6385,59176
434,115080,30332.232,0,51939
435,115080,30542.428,2128,60453
436,115080,42027.000,6385,65535
437,115080,44766.973,5534,65535
438,115080,44531.492,4683,65535
439,115080,44670.594,5960,65535
440,115080,44580.152,5108,65535
441,115080,44507.098,3831,65535
442,115080,44717.652,2980,65535
443,115080,44490.586,4257,65535
444,115080,44820.973,5534,65535
445,115080,44624.344,3831,65535
446,115080,44860.309,5534,65535
447,115080,40630.516,6811,64285
448,115080,30257.275,5534,51939
449,115080,30777.775,2128,52790
450,115080,30513.738,0,61305
451,115080,30708.602,5960,61305
452,115080,30507.117,5108,63433
453,115080,30692.195,851,55770
454,115080,30745.939,0,61731
455,115080,30425.314,6385,52790
456,115080,30716.779,7237,51939
457,115080,30400.520,2554,64285
458,115080,30686.309,4257,56196
459,115080,42428.836,6385,65535
460,115080,44854.648,5534,65535
461,115080,44827.809,5960,65535
462,115080,44574.270,5108,65535
463,115080,44825.371,0,65535
464,115080,44650.797,4683,65535
465,115080,44905.527,5108,65535
466,115080,44691.355,4683,65535
467,115080,44860.551,5108,65535
468,115080,44868.102,4257,65535
469,115080,44527.559,3831,65535
470,115080,40443.234,6811,65535
471,115080,30222.672,2980,63008
472,115080,30648.631,4683,60879
473,115080,30459.807,0,57473
474,115080,30407.729,851,65136
475,115080,30709.928,4257,53642
476,115080,30365.559,5534,63433
477,115080,30713.992,5534,63433
478,115080,30505.217,2554,51939
479,115080,30639.512,5108,58325
480,115080,30465.762,5960,58750
481,115080,30432.992,2554,55345
482,115080,42684.551,5108,65535
483,115080,44549.207,0,65535
484,115080,44817.859,5108,65535
485,115080,44663.547,5534,65535
486,115080,44804.605,3405,65535
487,115080,44664.008,5108,65535
488,115080,44608.449,5534,65535
489,115080,44922.902,5534,65535
490,115080,44545.512,6385,65535
491,115080,44881.090,5534,65535
492,115080,44628.832,1277,65535
493,115080,40175.438,5960,65535
494,115080,30525.631,2554,52364
495,115080,30525.666,2128,58750
496,115080,30748.775,5960,59176
497,115080,30418.627,6385,50662
498,115080,30601.531,3831,55770
499,115080,30405.250,0,62156
500,115080,30566.832,4257,63859
501,115080,30675.396,3405,65535
502,115080,30369.373,3405,65535
503,115080,30666.615,5960,61731
504,115080,30377.570,7237,59176
505,115080,42973.426,6385,65535
506,115080,44697.355,5960,65535
507,115080,44806.836,2980,65535
508,115080,44828.434,5534,65535
509,115080,44642.465,4683,65535
510,115080,44862.016,5534,65535
511,115080,44767.816,5534,65535
512,115080,44838.777,0,65535
513,115080,44774.703,3405,65535
514,115080,44664.340,5534,65535
515,115080,44905.973,6385,65535
516,115080,39791.031,4683,65136
517,115080,30645.850,425,64711
518,115080,30681.025,5534,57047
519,115080,30818.559,0,59176
520,115080,30516.684,6385,65535
521,115080,30528.027,3831,57473
522,115080,30748.861,6811,53642
523,115080,30418.699,5108,63008
524,115080,30627.559,6385,60879
525,115080,30436.244,5534,60028
526,115080,30577.783,4257,57473
527,115080,30382.139,0,55345
528,115080,42787.891,5960,65535
529,115080,44732.062,0,65535
530,115080,44464.301,4257,65535
531,115080,44780.406,0,65535
532,115080,44655.207,5534,65535
533,115080,44809.508,1702,65535
534,115080,44868.996,5960,65535
535,115080,44658.062,5108,65535
536,115080,44878.379,4683,65535
537,115080,44641.816,3831,65535
538,115080,44947.855,5108,65535
539,115080,39660.930,851,65535
540,115080,30570.533,5960,57473
541,115080,30853.592,5960,65535
542,115080,30489.736,2128,61731
543,115080,30783.576,4683,55345
544,115080,30579.424,3405,61305
545,115080,30686.967,2128,54919
546,115080,30522.760,5534,61305
547,115080,30712.332,425,55770
548,115080,30709.066,4257,62156
549,115080,30358.736,5960,52790
550,115080,30705.160,2128,51513
551,115080,43088.719,6385,65535
552,115080,44641.246,6811,65535
553,115080,44557.754,5108,65535
554,115080,44427.418,6385,65535
555,115080,44685.875,6385,65535
556,115080,44459.742,3831,65535
557,115080,44809.602,5960,65535
558,115080,44534.383,5960,65535
559,115080,44763.137,5960,65535
560,115080,44625.977,5534,65535
561,115080,44592.195,2980,65535
562,115080,39569.273,6811,65535
563,115080,30388.217,7237,62156
564,115080,30769.061,0,61731
565,115080,30606.697,0,58325
566,115080,30777.059,7663,54493
567,115080,30575.244,5534,54493
568,115080,30504.801,6811,57899
569,115080,30753.832,2980,62582
570,115080,30429.562,5960,59602
571,115080,30694.764,0,59176
572,115080,30529.371,5960,55345
573,115080,30660.334,3831,60879
574,115080,43622.207,4683,65535
575,115080,44570.977,5960,65535
576,115080,44783.215,6811,65535
