time,amplitude
8.275010133072885354e-03,2.880000000000000338e+00
8.279010621413750159e-03,2.880000000000000338e+00
8.283011109754611495e-03,2.880000000000000338e+00
8.287011598095472831e-03,2.880000000000000338e+00
8.291012086436334166e-03,2.880000000000000338e+00
8.295012574777195502e-03,2.880000000000000338e+00
8.299013063118056838e-03,2.880000000000000338e+00
8.303013551458921643e-03,2.880000000000000338e+00
8.307014039799782978e-03,2.880000000000000338e+00
8.311014528140644314e-03,2.880000000000000338e+00
8.315015016481505650e-03,2.880000000000000338e+00
8.319015504822366985e-03,2.880000000000000338e+00
8.323015993163228321e-03,2.880000000000000338e+00
8.327016481504093126e-03,2.880000000000000338e+00
8.331016969844954462e-03,2.880000000000000338e+00
8.335017458185815797e-03,2.800000000000000266e+00
8.339017946526677133e-03,2.880000000000000338e+00
8.343018434867538469e-03,2.880000000000000338e+00
8.347018923208399804e-03,2.880000000000000338e+00
8.351019411549264609e-03,2.880000000000000338e+00
8.355019899890125945e-03,2.880000000000000338e+00
8.359020388230987281e-03,2.880000000000000338e+00
8.363020876571848616e-03,2.880000000000000338e+00
8.367021364912709952e-03,2.880000000000000338e+00
8.371021853253571288e-03,2.880000000000000338e+00
8.375022341594436093e-03,2.880000000000000338e+00
8.379022829935297428e-03,2.880000000000000338e+00
8.383023318276158764e-03,2.880000000000000338e+00
8.387023806617020100e-03,2.800000000000000266e+00
8.391024294957881435e-03,2.880000000000000338e+00
8.395024783298742771e-03,2.880000000000000338e+00
8.399025271639607576e-03,2.880000000000000338e+00
8.403025759980468912e-03,2.880000000000000338e+00
8.407026248321330247e-03,2.880000000000000338e+00
8.411026736662191583e-03,2.880000000000000338e+00
8.415027225003052919e-03,2.880000000000000338e+00
8.419027713343914254e-03,2.800000000000000266e+00
8.423028201684779059e-03,2.880000000000000338e+00
8.427028690025640395e-03,2.880000000000000338e+00
8.431029178366501731e-03,2.880000000000000338e+00
8.435029666707363066e-03,2.880000000000000338e+00
8.439030155048224402e-03,2.880000000000000338e+00
8.443030643389085738e-03,2.880000000000000338e+00
8.447031131729950543e-03,2.880000000000000338e+00
8.451031620070811878e-03,2.880000000000000338e+00
8.455032108411673214e-03,2.880000000000000338e+00
8.459032596752534550e-03,2.880000000000000338e+00
8.463033085093395885e-03,2.880000000000000338e+00
8.467033573434257221e-03,2.880000000000000338e+00
8.471034061775122026e-03,2.880000000000000338e+00
8.475034550115983362e-03,2.880000000000000338e+00
8.479035038456844697e-03,2.880000000000000338e+00
8.483035526797706033e-03,2.880000000000000338e+00
8.487036015138567369e-03,2.880000000000000338e+00
8.491036503479432174e-03,2.880000000000000338e+00
8.495036991820293509e-03,2.880000000000000338e+00
8.499037480161154845e-03,2.880000000000000338e+00
8.503037968502016181e-03,2.880000000000000338e+00
8.507038456842877516e-03,2.880000000000000338e+00
8.511038945183738852e-03,2.880000000000000338e+00
8.515039433524603657e-03,2.880000000000000338e+00
8.519039921865464993e-03,2.880000000000000338e+00
8.523040410206326328e-03,2.880000000000000338e+00
8.527040898547187664e-03,2.880000000000000338e+00
8.531041386888049000e-03,2.880000000000000338e+00
8.535041875228910335e-03,2.880000000000000338e+00
8.539042363569775140e-03,2.880000000000000338e+00
8.543042851910636476e-03,2.880000000000000338e+00
8.547043340251497812e-03,2.880000000000000338e+00
8.551043828592359147e-03,2.880000000000000338e+00
8.555044316933220483e-03,2.880000000000000338e+00
8.559044805274081819e-03,2.880000000000000338e+00
8.563045293614946624e-03,2.880000000000000338e+00
8.567045781955807959e-03,2.880000000000000338e+00
8.571046270296669295e-03,2.880000000000000338e+00
8.575046758637530631e-03,2.880000000000000338e+00
8.579047246978391966e-03,2.880000000000000338e+00
8.583047735319253302e-03,2.880000000000000338e+00
8.587048223660118107e-03,2.880000000000000338e+00
8.591048712000979443e-03,2.880000000000000338e+00
8.595049200341840778e-03,2.880000000000000338e+00
8.599049688682702114e-03,2.880000000000000338e+00
8.603050177023563450e-03,2.880000000000000338e+00
8.607050665364424785e-03,2.880000000000000338e+00
8.611051153705289590e-03,2.800000000000000266e+00
8.615051642046150926e-03,2.880000000000000338e+00
8.619052130387012262e-03,2.880000000000000338e+00
8.623052618727873597e-03,2.880000000000000338e+00
8.627053107068734933e-03,2.880000000000000338e+00
8.631053595409596269e-03,2.880000000000000338e+00
8.635054083750461074e-03,2.800000000000000266e+00
8.639054572091322409e-03,2.880000000000000338e+00
8.643055060432183745e-03,2.800000000000000266e+00
8.647055548773045081e-03,2.880000000000000338e+00
8.651056037113906416e-03,2.880000000000000338e+00
8.655056525454767752e-03,2.880000000000000338e+00
8.659057013795632557e-03,2.880000000000000338e+00
8.663057502136493893e-03,2.880000000000000338e+00
8.667057990477355228e-03,2.880000000000000338e+00
8.671058478818216564e-03,2.880000000000000338e+00
8.675058967159077900e-03,2.880000000000000338e+00
8.679059455499939235e-03,2.880000000000000338e+00
8.683059943840804040e-03,2.880000000000000338e+00
8.687060432181665376e-03,2.880000000000000338e+00
8.691060920522526712e-03,2.880000000000000338e+00
8.695061408863388047e-03,2.880000000000000338e+00
8.699061897204249383e-03,2.880000000000000338e+00
8.703062385545110718e-03,2.880000000000000338e+00
8.707062873885975524e-03,2.880000000000000338e+00
8.711063362226836859e-03,2.880000000000000338e+00
8.715063850567698195e-03,2.880000000000000338e+00
8.719064338908559531e-03,2.880000000000000338e+00
