time_s,ch1_v,ch2_v
-0.01925,-0.51933422,-0.56634422
-0.0192,-0.51179653,-0.57262563
-0.01915,-0.51556537,-0.57639448
-0.0191,-0.51179653,-0.58267588
-0.01905,-0.51179653,-0.58267588
-0.019,-0.51054025,-0.59021357
-0.01895,-0.50802768,-0.59272613
-0.0189,-0.5067714,-0.59900754
-0.01885,-0.50174628,-0.60403267
-0.0188,-0.50300256,-0.60654523
-0.01875,-0.50049,-0.60905779
-0.0187,-0.50300256,-0.61659548
-0.01865,-0.50174628,-0.61910804
-0.0186,-0.49672115,-0.62538945
-0.01855,-0.49546487,-0.62790201
-0.0185,-0.49043974,-0.63292714
-0.01845,-0.49797743,-0.63795226
-0.0184,-0.49169603,-0.63795226
-0.01835,-0.49295231,-0.64423367
-0.0183,-0.49169603,-0.6492588
-0.01825,-0.49169603,-0.65679648
-0.0182,-0.4866709,-0.66056533
-0.01815,-0.48415834,-0.66182161
-0.0181,-0.4866709,-0.6693593
-0.01805,-0.48792718,-0.67564071
-0.018,-0.48290206,-0.67438442
-0.01795,-0.48415834,-0.67940955
-0.0179,-0.49169603,-0.65051508
-0.01785,-0.50174628,-0.61785176
-0.0178,-0.50928397,-0.59146985
-0.01775,-0.51556537,-0.57136935
-0.0177,-0.52435934,-0.55252513
-0.01765,-0.53440959,-0.53368091
-0.0176,-0.53817844,-0.51986181
-0.01755,-0.54697241,-0.50227387
-0.0175,-0.55074125,-0.49473619
-0.01745,-0.55576638,-0.48217337
-0.0174,-0.56330407,-0.46961056
-0.01735,-0.56958547,-0.46332915
-0.0173,-0.57586688,-0.4532789
-0.01725,-0.58214829,-0.44574121
-0.0172,-0.58591713,-0.43694724
-0.01715,-0.59219854,-0.43443468
-0.0171,-0.59847994,-0.42187186
-0.01705,-0.59973623,-0.41559046
-0.017,-0.61104276,-0.41182161
-0.01695,-0.61229904,-0.40428392
-0.0169,-0.61858045,-0.3992588
-0.01685,-0.62611813,-0.39297739
-0.0168,-0.62988698,-0.38920855
-0.01675,-0.63993723,-0.38418342
-0.0167,-0.64119351,-0.3791583
-0.01665,-0.6487312,-0.3791583
-0.0166,-0.65250004,-0.37413317
-0.01655,-0.65501261,-0.36785176
-0.0165,-0.66129401,-0.36659548
-0.01645,-0.66506286,-0.36408292
-0.0164,-0.67385683,-0.36157036
-0.01635,-0.67762567,-0.35403267
-0.0163,-0.68390708,-0.35277639
-0.01625,-0.6889322,-0.35026382
-0.0162,-0.69395733,-0.34900754
-0.01615,-0.69646989,-0.34398242
-0.0161,-0.70149502,-0.34272614
-0.01605,-0.70777643,-0.34021357
-0.016,-0.71405783,-0.33770101
-0.01595,-0.71782668,-0.3314196
-0.0159,-0.7228518,-0.33267589
-0.01585,-0.72913321,-0.33016332
-0.0158,-0.73415833,-0.32765076
-0.01575,-0.73792718,-0.32765076
-0.0157,-0.7429523,-0.32890704
-0.01565,-0.74672115,-0.31885679
-0.0156,-0.75174627,-0.32388192
-0.01555,-0.75928396,-0.32136935
-0.0155,-0.76179653,-0.31634423
-0.01545,-0.76807793,-0.31383166
-0.0154,-0.77310306,-0.31508795
-0.01535,-0.77561562,-0.31383166
-0.0153,-0.77938446,-0.31006282
-0.01525,-0.78189703,-0.30880654
-0.0152,-0.78817843,-0.30755026
-0.01515,-0.79320356,-0.30755026
